LaChain Network,1,$0
Bone,1,$0
Bitindi,2,$0
Zeniq,1,$0
Tlchain,1,$0
MUUCHAIN,1,$0
Kekchain,3,$0
Coti,1,$0
ZYX,1,$0
Polis,1,$0
Lamden,1,$0
Genshiro,1,$0
Nova Network,2,$0
CMP,1,$0
CLV,6,$0
Echelon,5,$0
Hoo,4,$0
Empire,1,$0
Dexit,3,$0
Stride,1,$0
Boba_Avax,2,$0
Nibiru,1,$0
Stafi,1,$0
zkSync Lite,4,$0
Sommelier,1,$0
Pokt,1,$0
Quicksilver,1,$0
Dymension,1,$0
DeFiChain EVM,1,$0
Celestia,1,$0
Kusama,1,$0
Bitkub,1,"$1,08"
DSC,1,"$1,83"
AirDAO,1,"$146,14"
Palm,2,"$538,03"
Lung,1,$1 540
REIchain,1,$4 310
Bitnet,1,$7 585
Bitgert,12,$9 459
Sifchain,1,$10 179
GoChain,1,$13 124
Cube,3,$18 610
Darwinia,1,$19 952
Planq,1,$21 679
Milkomeda A1,3,$23 080
Callisto,1,$24 432
HPB,1,$25 028
Lachain,3,$25 743
MultiVAC,3,$28 486
REI,6,$32 412
Areon Network,1,$32 615
JBC,3,$36 462
Goerli,1,$38 678
Tenet,2,$43 083
Ubiq,1,$48 349
Findora,5,$56 374
Syscoin,4,$56 637
Polkadot,3,$79 823
RSS3,1,$80 789
Crescent,2,$90 951
Newton,1,$98 661
ALV,2,$98 800
Shiden,7,$106 385
ETHF,1,$110 940
OntologyEVM,4,$127 779
Europa,3,$134 563
Godwoken,3,$139 555
Bahamut,2,$150 035
EthereumPoW,18,$153 639
Omax,2,$203 137
MEER,1,$220 099
Stargaze,3,$248 002
Ancient8,2,$254 388
Sora,2,$256 332
Ripple,3,$263 432
Nahmii,1,$268 056
Libre,1,$272 445
Loop,2,$279 068
Tombchain,1,$291 914
CSC,5,$298 668
Aura Network,1,$342 265
EnergyWeb,1,$348 009
Kintsugi,1,$357 105
LightLink,2,$397 213
inEVM,7,$401 903
Q Protocol,2,$441 753
Step,2,$447 231
Dash,1,$455 035
Boba_Bnb,2,$456 513
Viction,5,$458 972
Bittorrent,15,$465 457
Crab,1,$469 923
Bitrock,1,$471 419
ENULS,3,$481 836
Xai,1,$544 519
NOS,1,$550 389
EthereumClassic,7,$550 979
Concordium,1,$562 418
Comdex,6,$571 310
Starcoin,3,$611 535
Chiliz,2,$614 381
Nolus,1,$621 980
HAQQ,1,$646 760
Rangers,2,$688 906
Kroma,3,$691 032
Juno,10,$729 310
Energi,1,$770 242
Chihuahua,3,$800 212
Grove,1,$802 193
RENEC,1,$815 255
BEVM,6,$838 833
VeChain,2,$891 011
Obyte,7,$970 499
Neon,8,$975 941
Rollux,2,$991 755
Heiko,5,$1m
ThunderCore,9,"$1,06m"
SatoshiVM,1,"$1,11m"
Wax,3,"$1,12m"
Oasis Emerald,19,"$1,13m"
Kadena,5,"$1,19m"
Migaloo,3,"$1,23m"
CosmosHub,4,"$1,27m"
Elysium,1,"$1,28m"
MVC,1,"$1,34m"
Milkomeda C1,21,"$1,4m"
Bostrom,1,"$1,46m"
Fuse,22,"$1,49m"
Hydra,3,"$1,54m"
Karura,5,"$1,6m"
XPLA,2,"$1,67m"
Equilibrium,1,"$1,68m"
Zora,4,"$1,77m"
KCC,28,"$1,78m"
Arbitrum Nova,10,"$1,79m"
Velas,14,"$1,8m"
SXnetwork,1,"$1,86m"
Evmos,23,"$2,15m"
EOS EVM,8,"$2,15m"
Everscale,2,"$2,17m"
Harmony,60,"$2,27m"
Naka,1,"$2,47m"
OKTChain,36,"$2,47m"
Shibarium,13,"$2,54m"
DeFiVerse,2,"$2,58m"
Terra Classic,30,"$2,58m"
Degen,8,"$2,62m"
Zilliqa,7,"$2,63m"
Immutable zkEVM,3,"$2,82m"
Songbird,6,"$2,84m"
FunctionX,3,"$2,93m"
Theta,5,"$3,13m"
Oasys,1,"$3,16m"
Elastos,3,"$3,25m"
Onus,5,"$3,3m"
Vision,2,"$3,66m"
DFK,2,"$3,75m"
ShimmerEVM,7,"$3,77m"
ZetaChain,17,"$3,88m"
Dogechain,44,"$4,07m"
Oasis Sapphire,3,"$4,13m"
Meter,12,"$4,3m"
Horizen EON,7,"$4,45m"
Doge,3,"$4,54m"
Litecoin,4,"$4,92m"
Vite,4,"$4,95m"
Astar zkEVM,9,"$4,97m"
Wanchain,9,"$5,12m"
BOB,5,"$5,21m"
Interlay,5,"$5,21m"
Boba,27,"$5,26m"
Persistence,3,"$5,41m"
Archway,4,"$5,89m"
Ultron,3,"$6,03m"
Terra2,14,"$6,03m"
Ergo,8,"$6,3m"
Nuls,4,"$6,34m"
GodwokenV1,7,"$6,69m"
smartBCH,22,"$6,74m"
Moonriver,57,"$6,98m"
X Layer,17,"$7,11m"
Beam,2,"$7,72m"
Kardia,7,"$8,13m"
Carbon,4,"$8,15m"
Stellar,1,"$8,34m"
XDC,11,"$8,5m"
Flare,5,"$8,92m"
Proton,3,"$8,96m"
Polygon zkEVM,63,"$9,74m"
Pego,2,"$10,27m"
Ontology,3,"$10,37m"
UX,3,"$10,42m"
Bifrost,3,"$10,59m"
Parallel,5,"$10,68m"
Bitcoincash,3,"$11,1m"
Alephium,3,"$12,26m"
Icon,6,"$12,74m"
Waves,9,"$12,76m"
Venom,3,"$13,82m"
WEMIX3.0,12,"$15,13m"
CORE,27,"$15,84m"
Heco,50,"$16,54m"
Zkfair,12,"$17,46m"
Oraichain,3,"$17,63m"
Conflux,16,"$17,72m"
Bifrost Network,4,"$17,78m"
Acala,8,"$18,55m"
Radix,7,"$18,6m"
Neutron,5,"$19,26m"
Fraxtal,5,"$21,08m"
Secret,9,"$21,38m"
BSquared,5,"$22,13m"
IoTeX,25,"$23,56m"
Aurora,59,"$23,89m"
Flow,5,"$24,74m"
opBNB,38,"$24,97m"
FSC,1,"$25,02m"
HydraDX,1,"$26,52m"
Mayachain,1,"$26,89m"
Sei,8,"$31,25m"
Canto,25,"$33,14m"
Astar,42,"$34,35m"
NEO,6,"$37,3m"
Moonbeam,59,"$38,49m"
Filecoin,19,"$43,45m"
Klaytn,52,"$52,25m"
Injective,20,"$56,97m"
Tezos,20,"$59,14m"
Telos,37,"$60,03m"
Metis,57,"$65,02m"
DefiChain,3,"$65,59m"
Kujira,15,"$70,41m"
Karak Network,1,"$75,93m"
Scroll,66,"$78,93m"
Algorand,30,"$89,17m"
ICP,7,"$90,64m"
Manta Atlantic,2,"$92,94m"
Hedera,9,"$95,41m"
MAP Protocol,8,"$102,33m"
Fusion,3,"$102,9m"
zkLink,8,"$103,86m"
EOS,21,"$110,59m"
Fantom,322,"$114,67m"
Celo,49,"$114,86m"
Stacks,10,"$120,88m"
Mixin,10,"$123,94m"
dYdX,2,"$130,73m"
MultiversX,21,"$137,37m"
zkSync Era,107,"$149,56m"
Ronin,4,"$172,26m"
TON,15,"$173,34m"
Osmosis,16,"$174,13m"
Manta,46,"$174,9m"
Rootstock,12,"$182,86m"
Kava,137,"$212,42m"
Starknet,24,"$240,65m"
Linea,84,"$258,76m"
Near,23,"$275,25m"
Cardano,35,"$279,94m"
Gnosis,65,"$287,22m"
Mantle,75,"$287,94m"
Thorchain,3,$329m
Aptos,38,"$341,48m"
PulseChain,39,"$377,42m"
Hyperliquid,2,"$424,36m"
Mode,31,"$469,77m"
Cronos,111,"$504,06m"
Sui,30,"$605,98m"
Optimism,233,"$874,53m"
Polygon,551,"$892,25m"
Avalanche,382,"$900,93m"
Merlin,11,"$1,058b"
Bitcoin,18,"$1,117b"
